point,epsilon 0.3 sq,epsilon 0.05 sq,epsilon 0.3 quad,epsilon 0.05 quad
-0.86,0.476949,0.102861,0.168797,0.000995262
-0.85,0.489295,0.106698,0.180692,0.00109277
-0.84,0.50208,0.110784,0.19344,0.00120346
-0.83,0.515318,0.115145,0.207076,0.00132965
-0.82,0.529026,0.119808,0.22163,0.00147417
-0.81,0.54322,0.124804,0.237126,0.00164048
-0.8,0.557915,0.13017,0.25358,0.00183287
-0.79,0.573126,0.135947,0.270999,0.00205668
-0.78,0.588868,0.142183,0.289383,0.00231862
-0.77,0.605157,0.148932,0.308718,0.0026272
-0.76,0.622005,0.156259,0.328983,0.00299333
-0.75,0.639425,0.164241,0.350144,0.00343113
-0.74,0.657429,0.172965,0.37216,0.00395907
-0.73,0.676026,0.182537,0.394981,0.00460169
-0.72,0.695225,0.193084,0.41855,0.00539195
-0.71,0.715032,0.204757,0.442809,0.00637486
-0.7,0.73545,0.217741,0.467692,0.00761289
-0.69,0.75648,0.23226,0.493137,0.00919436
-0.68,0.778121,0.248595,0.519083,0.0112466
-0.67,0.800367,0.26709,0.545473,0.0139575
-0.66,0.823209,0.288182,0.572254,0.0176105
-0.65,0.846634,0.312423,0.599384,0.0226453
-0.64,0.870625,0.340521,0.626824,0.0297619
-0.63,0.895161,0.373391,0.654547,0.0401058
-0.62,0.920217,0.412215,0.682534,0.0555939
-0.61,0.945761,0.458528,0.710772,0.0794662
-0.6,0.971761,0.514298,0.739257,0.117071
-0.59,0.998178,0.581972,0.767993,0.176316
-0.58,1.02497,0.664376,0.796987,0.265268
-0.57,1.05209,0.764254,0.826252,0.382694
-0.56,1.07949,0.883049,0.855804,0.51019
-0.55,1.10713,1.01877,0.88566,0.633528
-0.54,1.13493,1.16416,0.915837,0.766676
-0.53,1.16287,1.30856,0.946351,0.926026
-0.52,1.19087,1.4451,0.977214,1.10327
-0.51,1.2189,1.57497,1.00843,1.27938
-0.5,1.24688,1.70096,1.04002,1.43221
-0.49,1.27479,1.81992,1.07195,1.54301
-0.48,1.30256,1.9247,1.10424,1.62028
-0.47,1.33016,2.00915,1.13685,1.68185
-0.46,1.35754,2.06961,1.16978,1.72327
-0.45,1.38467,2.10605,1.20298,1.73142
-0.44,1.41152,2.12291,1.23643,1.72458
-0.43,1.43805,2.12826,1.27008,1.73339
-0.42,1.46424,2.13234,1.30389,1.75904
-0.41,1.49007,2.14641,1.3378,1.76299
-0.4,1.51552,2.17668,1.37177,1.72267
-0.39,1.54058,2.21539,1.40573,1.66975
-0.38,1.56523,2.24413,1.43959,1.64997
-0.37,1.58947,2.25265,1.4733,1.67869
-0.36,1.61329,2.24988,1.50674,1.72325
-0.35,1.63668,2.25105,1.53984,1.72668
-0.34,1.65963,2.26084,1.57249,1.66485
-0.33,1.68215,2.27379,1.6046,1.59497
-0.32,1.70421,2.28561,1.63605,1.58346
-0.31,1.72583,2.30039,1.66676,1.62625
-0.3,1.74698,2.32954,1.69663,1.6901
-0.29,1.76767,2.38328,1.72559,1.7748
-0.28,1.78788,2.46278,1.75355,1.88646
-0.27,1.80761,2.56166,1.78048,2.00917
-0.26,1.82684,2.66988,1.80631,2.11295
-0.25,1.84557,2.77074,1.83103,2.16867
-0.24,1.86378,2.84047,1.8546,2.16967
-0.23,1.88145,2.85984,1.87703,2.14696
-0.22,1.89859,2.82845,1.89832,2.13748
-0.21,1.91515,2.76743,1.91847,2.13604
-0.2,1.93114,2.70883,1.93749,2.10672
-0.19,1.94653,2.68063,1.95542,2.0306
-0.18,1.9613,2.69419,1.97227,1.93725
-0.17,1.97543,2.74194,1.98807,1.88935
-0.16,1.98891,2.80846,2.00284,1.94499
-0.15,2.0017,2.88535,2.01661,2.1006
-0.14,2.01379,2.97571,2.02941,2.29385
-0.13,2.02515,3.08352,2.04126,2.46437
-0.12,2.03576,3.20024,2.05218,2.57457
-0.11,2.0456,3.30518,2.0622,2.61464
-0.1,2.05464,3.37718,2.07134,2.62021
-0.09,2.06287,3.40302,2.07962,2.63703
-0.08,2.07027,3.38377,2.08707,2.6787
-0.07,2.07683,3.34094,2.09369,2.73031
